accuracy,f1,n_estimators,max_depth,learning_rate,drop_col,statistics
0.7404,0.7456,200,4,0.1,none,mean
0.7616,0.7653,200,4,0.1,z,mean
0.7409,0.7467,200,4,0.1,intensity,mean
0.7398,0.7457,200,4,0.1,red,mean
0.7422,0.7471,200,4,0.1,green,mean
0.751,0.7572,200,4,0.1,blue,mean
0.766,0.7704,200,4,0.1,rho,mean
0.7031,0.706,200,4,0.1,vert_angle,mean
0.7441,0.749,200,4,0.1,slope,mean
0.7374,0.7424,200,4,0.1,curvature,mean
0.704,0.7078,200,4,0.1,roughness,mean
0.7439,0.7488,200,4,0.1,nx_xyz,mean
0.7632,0.7668,200,4,0.1,ny_xyz,mean
0.7429,0.748,200,4,0.1,nz_xyz,mean
0.7279,0.7336,200,4,0.1,nx,mean
0.74,0.7454,200,4,0.1,ny,mean
0.7232,0.7263,200,4,0.1,nz,mean
0.4584,0.4633,200,4,0.1,none,var
0.4454,0.4476,200,4,0.1,z,var
0.4526,0.4584,200,4,0.1,intensity,var
0.4576,0.4623,200,4,0.1,red,var
0.4577,0.4627,200,4,0.1,green,var
0.4581,0.4629,200,4,0.1,blue,var
0.4478,0.4507,200,4,0.1,rho,var
0.4589,0.4642,200,4,0.1,vert_angle,var
0.4564,0.4612,200,4,0.1,slope,var
0.4545,0.4593,200,4,0.1,curvature,var
0.4564,0.4619,200,4,0.1,roughness,var
0.4575,0.4623,200,4,0.1,nx_xyz,var
0.4567,0.4616,200,4,0.1,ny_xyz,var
0.457,0.4619,200,4,0.1,nz_xyz,var
0.4519,0.4548,200,4,0.1,nx,var
0.4565,0.4609,200,4,0.1,ny,var
0.4559,0.4596,200,4,0.1,nz,var
0.4771,0.4866,200,4,0.1,none,std
0.4745,0.4827,200,4,0.1,z,std
0.4761,0.488,200,4,0.1,intensity,std
0.4771,0.4864,200,4,0.1,red,std
0.4769,0.4866,200,4,0.1,green,std
0.4779,0.488,200,4,0.1,blue,std
0.476,0.4848,200,4,0.1,rho,std
0.4775,0.4871,200,4,0.1,vert_angle,std
0.4784,0.4882,200,4,0.1,slope,std
0.4747,0.4837,200,4,0.1,curvature,std
0.4751,0.4861,200,4,0.1,roughness,std
0.4735,0.4825,200,4,0.1,nx_xyz,std
0.4771,0.487,200,4,0.1,ny_xyz,std
0.4713,0.4796,200,4,0.1,nz_xyz,std
0.4701,0.4777,200,4,0.1,nx,std
0.4769,0.4859,200,4,0.1,ny,std
0.4777,0.4867,200,4,0.1,nz,std
0.7397,0.7449,200,4,0.1,none,median
0.7458,0.751,200,4,0.1,z,median
0.7481,0.7534,200,4,0.1,intensity,median
0.7328,0.7388,200,4,0.1,red,median
0.7462,0.7513,200,4,0.1,green,median
0.7556,0.7614,200,4,0.1,blue,median
0.7594,0.7635,200,4,0.1,rho,median
0.6878,0.6843,200,4,0.1,vert_angle,median
0.7466,0.7517,200,4,0.1,slope,median
0.7439,0.7494,200,4,0.1,curvature,median
0.7023,0.7046,200,4,0.1,roughness,median
0.7525,0.7574,200,4,0.1,nx_xyz,median
0.7678,0.772,200,4,0.1,ny_xyz,median
0.7405,0.7457,200,4,0.1,nz_xyz,median
0.7309,0.7368,200,4,0.1,nx,median
0.7416,0.7474,200,4,0.1,ny,median
0.7365,0.7407,200,4,0.1,nz,median
0.7546,0.7599,200,4,0.1,none,perc2nd
0.7584,0.7634,200,4,0.1,z,perc2nd
0.7427,0.7489,200,4,0.1,intensity,perc2nd
0.7396,0.7461,200,4,0.1,red,perc2nd
0.7489,0.7546,200,4,0.1,green,perc2nd
0.7494,0.7557,200,4,0.1,blue,perc2nd
0.7488,0.7528,200,4,0.1,rho,perc2nd
0.6779,0.6699,200,4,0.1,vert_angle,perc2nd
0.7546,0.7602,200,4,0.1,slope,perc2nd
0.7543,0.7597,200,4,0.1,curvature,perc2nd
0.7091,0.7143,200,4,0.1,roughness,perc2nd
0.7456,0.7513,200,4,0.1,nx_xyz,perc2nd
0.7732,0.7778,200,4,0.1,ny_xyz,perc2nd
0.7445,0.7501,200,4,0.1,nz_xyz,perc2nd
0.7283,0.7351,200,4,0.1,nx,perc2nd
0.7425,0.7489,200,4,0.1,ny,perc2nd
0.7367,0.7426,200,4,0.1,nz,perc2nd
0.7622,0.7663,200,4,0.1,none,perc98th
0.7646,0.7687,200,4,0.1,z,perc98th
0.7393,0.7435,200,4,0.1,intensity,perc98th
0.7543,0.7586,200,4,0.1,red,perc98th
0.7573,0.7618,200,4,0.1,green,perc98th
0.7624,0.7671,200,4,0.1,blue,perc98th
0.7754,0.7786,200,4,0.1,rho,perc98th
0.6998,0.7004,200,4,0.1,vert_angle,perc98th
0.7602,0.7641,200,4,0.1,slope,perc98th
0.7628,0.7669,200,4,0.1,curvature,perc98th
0.7138,0.7173,200,4,0.1,roughness,perc98th
0.761,0.7647,200,4,0.1,nx_xyz,perc98th
0.7741,0.7778,200,4,0.1,ny_xyz,perc98th
0.7471,0.752,200,4,0.1,nz_xyz,perc98th
0.7518,0.7562,200,4,0.1,nx,perc98th
0.7568,0.7613,200,4,0.1,ny,perc98th
0.7503,0.754,200,4,0.1,nz,perc98th
0.7527,0.7577,200,4,0.1,none,perc25th
0.7863,0.7895,200,4,0.1,z,perc25th
0.7488,0.7548,200,4,0.1,intensity,perc25th
0.74,0.7461,200,4,0.1,red,perc25th
0.7479,0.7533,200,4,0.1,green,perc25th
0.7521,0.7585,200,4,0.1,blue,perc25th
0.763,0.7664,200,4,0.1,rho,perc25th
0.6814,0.6744,200,4,0.1,vert_angle,perc25th
0.7533,0.7583,200,4,0.1,slope,perc25th
0.7526,0.7581,200,4,0.1,curvature,perc25th
0.7081,0.7135,200,4,0.1,roughness,perc25th
0.7518,0.7569,200,4,0.1,nx_xyz,perc25th
0.7781,0.7821,200,4,0.1,ny_xyz,perc25th
0.7394,0.7445,200,4,0.1,nz_xyz,perc25th
0.7362,0.742,200,4,0.1,nx,perc25th
0.7469,0.7528,200,4,0.1,ny,perc25th
0.7421,0.747,200,4,0.1,nz,perc25th
0.769,0.7729,200,4,0.1,none,perc75th
0.7838,0.7866,200,4,0.1,z,perc75th
0.7556,0.7598,200,4,0.1,intensity,perc75th
0.7642,0.7684,200,4,0.1,red,perc75th
0.7789,0.7824,200,4,0.1,green,perc75th
0.7797,0.7838,200,4,0.1,blue,perc75th
0.7799,0.7831,200,4,0.1,rho,perc75th
0.7198,0.7203,200,4,0.1,vert_angle,perc75th
0.7761,0.7799,200,4,0.1,slope,perc75th
0.7741,0.7779,200,4,0.1,curvature,perc75th
0.7239,0.7273,200,4,0.1,roughness,perc75th
0.7713,0.7751,200,4,0.1,nx_xyz,perc75th
0.7861,0.7892,200,4,0.1,ny_xyz,perc75th
0.7643,0.7686,200,4,0.1,nz_xyz,perc75th
0.7554,0.7591,200,4,0.1,nx,perc75th
0.759,0.7636,200,4,0.1,ny,perc75th
0.7574,0.7611,200,4,0.1,nz,perc75th
0.3869,0.3748,200,4,0.1,none,skewness
0.3378,0.3172,200,4,0.1,z,skewness
0.3834,0.3696,200,4,0.1,intensity,skewness
0.3871,0.3751,200,4,0.1,red,skewness
0.3875,0.3755,200,4,0.1,green,skewness
0.388,0.376,200,4,0.1,blue,skewness
0.3727,0.3614,200,4,0.1,rho,skewness
0.3674,0.3547,200,4,0.1,vert_angle,skewness
0.3865,0.3745,200,4,0.1,slope,skewness
0.3839,0.3714,200,4,0.1,curvature,skewness
0.3871,0.3755,200,4,0.1,roughness,skewness
0.3865,0.3742,200,4,0.1,nx_xyz,skewness
0.3857,0.3743,200,4,0.1,ny_xyz,skewness
0.3882,0.3749,200,4,0.1,nz_xyz,skewness
0.3887,0.3772,200,4,0.1,nx,skewness
0.3871,0.375,200,4,0.1,ny,skewness
0.3825,0.3715,200,4,0.1,nz,skewness
